symbol,name,price,change,% change,market cap,url
3LRR.L,GraniteShares 3x Long Rolls-Royce Daily ETC,0.1691,-0.0212,-11.14%,N/A,https://uk.finance.yahoo.com/quote/3LRR.L?p=3LRR.L
RBD.L,Reabold Resources plc,0.2890,-0.0010,-0.34%,25.807M,https://uk.finance.yahoo.com/quote/RBD.L?p=RBD.L
PREM.L,Premier African Minerals Limited,0.3284,-0.0016,-0.48%,73.621M,https://uk.finance.yahoo.com/quote/PREM.L?p=PREM.L
0RTY.IL,Piraeus Financial Holdings S.A.,0.9846,-0.5354,-35.22%,1.231B,https://uk.finance.yahoo.com/quote/0RTY.IL?p=0RTY.IL
UKOG.L,UK Oil & Gas Investments PLC,0.1170,-0.0055,-4.49%,19M,https://uk.finance.yahoo.com/quote/UKOG.L?p=UKOG.L
3NGS.L,WisdomTree Natural Gas 3x Daily Short,0.0326,+0.0014,+4.32%,N/A,https://uk.finance.yahoo.com/quote/3NGS.L?p=3NGS.L
BOIL.L,Baron Oil Plc,0.0735,+0.0005,+0.68%,10.535M,https://uk.finance.yahoo.com/quote/BOIL.L?p=BOIL.L
CLON.L,Clontarf Energy plc,0.0608,-0.0067,-9.93%,1.441M,https://uk.finance.yahoo.com/quote/CLON.L?p=CLON.L
KZG.L,Kazera Global plc,0.9250,0.0000,0.00%,8.669M,https://uk.finance.yahoo.com/quote/KZG.L?p=KZG.L
VAST.L,Vast Resources plc,0.7800,-0.0200,-2.50%,11.432M,https://uk.finance.yahoo.com/quote/VAST.L?p=VAST.L
LLOY.L,Lloyds Banking Group plc,43.57,+0.12,+0.29%,30.175B,https://uk.finance.yahoo.com/quote/LLOY.L?p=LLOY.L
0MPP.IL,E.ON SE,8.68,-0.07,-0.82%,22.632B,https://uk.finance.yahoo.com/quote/0MPP.IL?p=0MPP.IL
MSMN.L,Mosman Oil And Gas Limited,0.0677,+0.0027,+4.15%,3.534M,https://uk.finance.yahoo.com/quote/MSMN.L?p=MSMN.L
